crh_Latn,ukr
İşğal etilgen Qırımda rf mahsus hızmetleri qarşı istihbaratnı quvetleştirdiler,Спецслужби рф посилили контррозвідку в окупованому Криму
Siyasiy mabüs Memet Belâlovnı ŞİZOğa ketirildi,Політв’язня Мемета Белялова перевели до ШІЗО
"İşğal makemesi, Qırım Ğayesinde malümat yayınlağanı içün uquq qorçalayıcı Cepparovğa para cezasını berdi",Окупаційний суд оштрафував правозахисника Джеппарова за публікацію Qırım Ğayesi
Siyasiy mabüs Remzi Bekirovnı Krasnodar krayığa (rusiye) etap etildi,Політв’язня Ремзі Бекірова етапували до Красноярського краю (росія)
Qırımtatarlarnıñ yarısından çoqusı işğal etilgen Herson vilâyetini terk etti,Більше половини кримських татар покинуло окуповану Херсонщину 
Moskvada makeme Leniye Umerovanıñ tevqifine qarşı şikâyetni red etti,У Москві суд відхилив апеляційну скаргу на арешт Леніє Умерової
Ukraina Qırımda çalışmaları içün devlet hızmetlerini almağa başladı,Україна почала набір держслужбовців для роботи у Криму
Uquq qoruyıcılar Ukrainanı İrına Danılovıçnı deñiştirüv cedveline kirsemtege çağıradılar,Правозахисники закликали Україну включити Ірину Данилович до списків на обмін
Qırım işğal astında olğance cenk bitmeycek – Zelenskıy,"Війна не завершиться, поки Крим перебуває під окупацією – Зеленський"
Yaralanğan rus işğalcilerini Qırımğa kütleviy olaraq tahliye eteler,Поранених російських окупантів масово евакуюють на територію Криму
Cenkte asker Edem Aliev elâk oldı,На війні загинув військовий Едем Алієв
Siyasiy mabüs Bohdan Ziza açlıq etmege bitirdi,Політв’язень Богдан Зіза припинив голодування
Qurban bayramıñız mübarek olsun!,Зі святом Курбан-Байрам!
İşğal etilgen Qırımda demiryol patlatıldı,В окупованому Криму підірвали залізницю
Nariman Celâlnıñ Qırımtatar bayrağı kününe bağışlanğan muracaatı,Звернення Нарімана Джеляла до Дня кримськотатарського прапора
"Qırımda işğalciler, qırımtatar bayraqları sebebinden maşnalarğa para cezasını berdiler",У Криму окупанти оштрафували автоколону за кримськотатарські прапори
Kıyiv şeer devlet memuriyeti astında qırımtatar bayrağı köterildi,Над Київською міською державною адміністрацію підняли кримськотатарський прапор
Qırımtatar bayrağı kününe bağışlanğan Meclisniñ başınıñ hayırlavı,Привітання голови Меджлісу з Днем кримськотатарського прапора
Aqmescit rayonında işğalciler blok noqtalarını qoyıp vesiqalarnı teşkermege başladılar – Çubarov,У Сімферопольському районі окупанти встановили болкпост та почали перевірку документів – Чубаров
İşğal etilgen Aqmescitteki yañı hastahane rf askerleriniñ ihtiyaclarına berildi,В окупованому Сімферополі нову лікарню забрали для потреб військових рф
Demiryolda “diversiya” sebebinden 14 qırımtatar rus işğalcileriniñ qurbanı oldı,14 кримських татар стали жертвами російських окупантів через “диверсії” на залізниці
Qırımda TFH demiryolnı patlatmağa şübelengen yerli sakinni azapladı,У Криму ФСБ катувала місцевого через підозри у підриві залізниці
Çonğar köprüne raketa urdı,У Чонгарський міст влучила ракета
Emine Ceppar siyasiy mabüs Osman Arifmemetovnıñ mektübini yayınladı,Еміне Джеппар опублікувала листа від політв’язня Османа Аріфмеметова
SİZOda Nariman Celâl varikoz hastalığını çeke,Наріман Джелял страждає в СІЗО на варикоз
İşğal etilgen Qırımda 400 rus askeri defin etildi,В окупованому Криму вже поховали 400 російських солдатів
Qırımda tintüvler: eki qırımtatar tutuldı,Обшуки у Криму: затримано двох кримських татар
İşğal etilgen Qırımnıñ şimalinde rus ordusı okoplarnı qazdı – fotoresimler,Російські війська вирили окопи на півночі окупованого Криму – фото
Qara deñizde “Kalibr”lerniñ rus taşıyıcıları arbiy azırlıq alındadır,Російський носій «Калібрів» перебуває на бойовому чергуванні в Чорному морі
İşğal makemesi faalci İrına Danılovıçnıñ şikâyet arizasını başqa künge qoydı,Окупаційний суд відклав апеляцію активістки Ірини Данилович
"İşğalciler, faalci Rolan Osmanonıñ para cezasını lâğu etmege red ettiler",Окупанти відмовились скасувати штраф активісту Ролану Османову
İçtimaiy jurnalist Remzi Bekirov rusiyege etap etildi,Громадянського журналіста Ремзі Бекірова етапували до росії
Meclis Çehiyanıñ Senatınıñ vekillerinen körüşti,Меджліс зустрівся із делегацією Сенату Чехії
İşğalciler Qırımda yaqın kelecekte suv yedeginiñ bitecegini tanıdılar,"Окупанти визнали, що запаси води у Криму скоро закінчаться"
Siyasiy mabüs Andriy Zahtey Rusiyeni terk ete ve Ukrainağa kete,Політв’язень Андрій Захтей покинув росію та їде до України
2. SİZOda şartlar sebebinden siyasiy mabüs Asan Ahtemovnıñ sağlığı yaramazlaştı,У політв’язня Асана Ахтемова проблеми зі здоров’ям через умови у СІЗО №2
"Qırımda işğal makemesi, uquq qorçalayıcı Abdureşit Cepparnıñ davasınıñ şaatlarını çağıracaq",Окупаційний суд у Криму викличе свідків по справі правозахисника Абдурешита Джеппарова
Meclisniñ habersiz ğayıp olğan sabıq azası Eldar Mensitov mahsus bölükte tapıldı,Зниклого колишнього члена Меджлісу Ельдара Менсітова знайшли у спецприймачі 
Qırımnıñ yalığa yaqın rayonlarındaki musafirhanelerde rus askerleri yerleşeler – uquq qoçralayıcılar,російські військові заселяються в готелі прибережних районів Криму – правозахисники
Eñ çoq bu seneniñ soñuna qadar Qırımda suv yeterecek – Çubarov,Води в Криму вистачить максимум до кінця року – Чубаров
"Qırımda işğal memuriyetleriniñ işçileri, işten çıqmağa tırışqanlarında qorqutula – “Qırım ğayesi”",Співробітникам окупаційних адміністрацій у Криму погрожують при спробі звільнитися – «Кримська ідея»
Qırımtatar Milliy Meclisiniñ Prezidiumınıñ İlânı,Заява Президії Меджлісу кримськотатарського народу
Qırımtatar resamı Bohdan Ziza 15 senege maküm etildi,Кримського художника Богдана Зізу засудили до 15 років
İşğalciler Kahovka GESni patlattılar,Окупанти підірвали Каховську ГЕС
Cebede USQniñ qırımtatar askeri Tımur Mateyev öldürildi,На фронті загинув  кримськотатарський боєць ЗСУ Тимур Матеєв
Uquqiy statusını qayd etmek içün Meclis Ukrainanıñ akimiyetine hitap etti,Меджліс звернувся до влади України для закріплення правового статусу
"İşğalciler, “qırımtatar bataylonında iştrak etkeni içün”Qırımnıñ sakinini 2 senege maküm ettiler",Окупанти засудили кримчанина до 2 років через “участь у кримськотатарському батальйоні”
Aqmescitteki SİZOda işğalciler hırsızlanğan ukrain faalcisini tutalar,Окупанти тримають у СІЗО №2 Сімферополя викраденого українського активіста
"Rus uquq qorçalayıcıları, qırımtatar faalcisiniñ evini ziyaret ettiler",До будинку кримськотатарської активістки навідалися російські правоохоронці
"Çonharda ruslar, Qırımdan siyasiy mabüslerniñ tutulğanları gizli SİZO açtılar","Росіяни відкрили у Чонгарі таємне СІЗО, де тримають політв’язнів із Криму"
İşğal etilgen Qırımda ruslar ukrainlılarnıñ mülkiyetini alalar,Росіяни забирають майно українців в окупованому Криму
Rus makemesi “ekinci Aqyar gruppası”nıñ iştirakçilerine üküm çıqardı,Російський суд оголосив вирок фігурантам «другої севастопольської групи»
Siyasiy mabüs Oleh Prıhodkoğa qarşı yañı sahte dava açıldı,Проти політв’язня Олега Приходька фабрикують нову справу
Eski Qırımda işğalciler tintüv keçirdiler,Окупанти провели обшук у Старому Криму
Qırımtatarlar Ukrainanıñ terkibinde Avropağa kirmege isteyler – Jumadilov,Кримські татари хочуть у складі України увійти в Європу – Жумаділов
"Refat Çubarov, ruslarnıñ Qırımda qurğanları abidelerni yoq etmege çağıra","Рефат Чубаров закликає знищити пам’ятники, встановлені росіянами у Криму"
Qırımnıñ sakini olğan 38 siyasiy mabüsniñ sağlıq meseleleri bar,38 кримських політв’язнів мають критичні проблеми зі здоров’ям
"Qırımda balalarnıñ tek 0,1%i ukraince ya da qırımtatarca oquy","У Криму українською чи кримськотатарською мовами навчаються лише 0,1% дітей"
"Ukrainanıñ tamır halqları, öz saqlanuvı ve inkişafına dair kefaletlerni almalılar – Çubarov",Корінні народи України мають отримати гарантії щодо свого збереження та розвитку – Чубаров
İşğal etilgen Qırımda qırımtatar faalcisi Ruslan Lümanov ğayıp oldı,В окупованому Криму зник кримськотатарський активіст Руслан Люманов
İşğalciler Abdureşit Cepparğa qarşı daa eki memuriy davanı açtılar,Окупанти порушили ще дві адміністративні справи проти Абдурешита Джеппарова
Refat Çubarov işğal etilgen Aqmescitte Meclisniñ binasını “milliyleştirüv”ni tefsir etti,Рефат Чубаров прокоментував “націоналізацію” будівлі Меджлісу в окупованому Сімферополі
rusiye qırımtatar faalcisini müstemlekede 18 senege maküm etti,росія засудила кримськотатарського активіста до 18 років колонії
Rus müstemlekesinde süyasiy mabüs Remzi Memetovnıñ qara qan damlarında yüksek basım ve artroz hastalıqları yaramazlaştı,У політв’язня Ремзі Меметова в російській колонії загострилися гіпертонія та артроз
"Siyasiy mabüs Arsen Abhayirov varikoz hastalığını çeke, amma onı tedaviylemeyler","Політв’язень Арсен Абхаїров страждає на варикоз, але його не лікують"
Qırımtatarlarnıñ sürgünligi halqara seviyede genotsid olaraq tanınmalı – Bariiev,Депортація кримських татар має бути визнана геноцидом на міжнародному рівні – Барієв
Türkiyede Qırımtatarlarnıñ genotsid kününe bağışlanğan hatıra tedbirleri keçirildi,У Туреччині провели пам’ятні заходи до Дня геноциду кримських татар
Şimaliy Makedoniyada qırımtatar halqınıñ genotsidiniñ qurbanlarını ümütnen añdılar,У Північній Македонії вшанували пам’ять жертв геноциду кримськотатарського народу￼
Qırımda belki de demiryolnıñ “patlaması” sebebinden qırımtatar tutuldı,"У Криму викрали кримського татарина, ймовірно, через “підрив” залізниці"
Kıyivde “Tarihnı unutmayıq – topraqnı qaytarayıq” hatıra tedbiri keçirildi,У Києві відбувся меморіальний захід «Пам’ятаємо історію – повертаємо територію»
"Arbiy yoldan başqa olmaz, – dep Cemilev Qırımnı azat etüv aqqında","Іншого шляху, окрім військового, не залишається – Джемілєв про звільнення Криму"
"rus makemesi, siyasiy mabüsler olğan Sızıkov, Sufyanov ve Hayredinovğa üküm çıqardı","російський суд виніс вирок політв’язням Сизикову, Суф’янову та Хайредінову"
"Qırımda işğalciler, mekteplerniñ mağazlarında sığınaqlarnı azırlaylar – Bariiev",Окупанти у Криму готують укриття у підвалах шкіл – Барієв
Qırımtatar halqınıñ genotsidiniñ qurbanlarını añma kününe bağışlanğan tedbirler (yañartıla),Заходи до Дня пам’яті жертв геноциду кримськотатарського народу (доповнюється)
Nariman Celâlnı TFHniñ taqiqat izolâtorına ketirildi – Qırım Ğayesi,Нарімана Джеляла перевели до слідчого ізолятора ФСБ – Qırım Gayesi
"Meclisniñ Başı, Podolâknıñ Qırımnıñ kelecegi aqqında sözlerini tefsir etti",Голова Меджлісу прокоментував слова Подоляка про майбутнє Криму
"İşğalciler, jurnalist İrına Danılovıçnıñ sağlığı aqqında haber bermege red ettiler",Окупанти відмовилися повідомити дані про здоров’я журналістки Ірини Данилович
"Taşeva, yarımada işğalden azat etilecek soñ bütün siyasiy mabüslerniñ serbest etilecegini bildirdi",Ташева заявила про звільнення всіх політвʼязнів після деокупації
rf müstemlekesinde epis etilgen jurnalist Yesıpenko ruhiy basım astında buluna,Ув’язнений журналіст Єсипенко зазнає психологічного тиску в колонії рф
"İşğalciler, Qırım köprü vastasınen ketken er kesni teşkereler","Окупанти перевіряють кожного, хто виїжджає через Кримський міст"
Qırımtatar Milliy Meclisiniñ Ukrainadaki İspaniya elçisinen körüşüvi,Зустріч у Меджлісі кримськотатарського народу з Послом Іспанії в Україні
"Refat Çubarov, qırımtatarlarnıñ «MCO»nı destek etkenlerine dair rus uydurmasınıñ yañlış olğanını isbatladı",Рефат Чубаров спростував російські міфи про підтримку «СВО» кримськими татарами
Kıyivde yırcı Jamala “QIRIM” albomını taqdim etti,Співачка Джамала презентувала у Києві альбом QIRIM
Abdureşit Ceppar 12 künlik tevqiften soñ azat etildi,Абдурешит Джеппаров вийшов після 12 діб арешту
rfnıñ milliy delegatsiyasınıñ bütün azalarına QİİPAnıñ azalığında red ettiler,Національній делегації рф відмовили у членстві в ПАЧЕС
Moskvanıñ makemesi Leniye Umerovanı casuslıqta qabaatlap tevqif etti,Суд Москви заарештував Леніє Умерову через підозру у шпигунстві
rf vekilleriniñ mandatlarınıñ tasdıqlanmasınıñ qabul etilemezligi aqqında Meclisniñ Prezidiumınıñ ilânı,Заява Президії Меджлісу про неприпустимість підтвердження мандатів делегації рф
İşğal makemesi Abdulreşit Cepparnıñ tevqifini tanıdı￼,Окупаційний суд залишив чинним арешт Абдурешита Джеппарова
Aqyar şeerindeki yermay bazası patlağan soñ yoldaş resimleri yayınlandı￼,Опубліковані супутникові знімки після вибуху нафтобази у Севастополі
Siyasiy mabüs Abdullaevni rf müstemlekesiniñ ceza izolâtorından çıqarıldı,Політв’язня Абдуллаєва випустили зі штрафного ізолятора колонії рф
"İşğal makemesi, bozmalarnı yoq etmek içün İrına Danılovıçnıñ davasını qaytardı",Окупаційний суд повернув справу Ірини Данилович для усунення порушень
"Çehiya, qırımtatarlarnıñ sürgünligini genotsid aktı olaraq tanıya bilir",Чехія може визнати депортацію кримських татар актом геноциду
Çehiyadaki Brno şeerinde qırımtatarlar aqqında añlattılar,У чеському Брні розповідали про кримських татар
Mustafa Cemilev ve Refat Çubarovnıñ Çehiya Cumhuriyetiniñ Prezidenti Petr Pavelnen körüşüvi,Зустріч Мустафи Джемілєва та Рефата Чубарова з Президентом Чеської Республіки Петром Павелом
Aluştada rus tezavucılarına topraq parçalarına ilk sertifikatlarnı berdiler,В Алушті видали перші сертифікати на земельні ділянки російським загарбникам
"Epis etilgen içtimaiy jurnalist İrına Danılovıç, oña söz berilgen tedaviylev alâ daa almadı",Ув’язнена громадянська журналістка Ірина Данилович досі не отримала обіцяне лікування
Qırımtatar Leniye Umerovağa yañıdan 15 künlik tevqif berdiler,Кримська татарка Леніє Умерова знову отримала 15 діб арешту
Meclisniñ Başınıñ ilk muavini Nariman Celâlnıñ 43. doğğan künü,Першому заступнику Голови Меджлісу Наріману Джелялу виповнюється 43 роки
Sudaqta tintüvlerden soñ rus quvetçileri eki qırımtatar faalcisini tuttılar,Російські силовики затримали двох кримськотатарських активістів після обшуків у Судаку
Abdureşit Cepparnı 12 künge tevqif ettiler,Абдурешита Джеппарова заарештували на 12 діб
Mahsus blok ve tedaviylevniñ yoq oluvı – siyasiy mabüs Amet Suleymanovnıñ vaziyeti yaramazlaştı,Спецблок та відсутність лікування – стан політв’язня Амета Сулейманова погіршується
"Yarımada işğal astında qalsa, qırımtatar milleti yoq ola bilir – Cemilev","Кримськотатарській нації загрожує знищення, якщо півострів залишиться під окупацією – Джемілєв"
Bir senedir Qırımda rusiye hırsızlanğan ispan göñüllisini tuta,росія рік утримує у Криму викраденого іспанського волонтера
"Advokatlar, tutulğan Abdureşit Cepparnı tapamaylar",Адвокати не можуть знайти затриманого Абдурешита Джеппарова
"Rus quvetçileri, qırımtatarlarnı daa çoq taqip etmege başladılar – Qırım ğayesi",Російські силовики посилили стеження за кримськими татарами – Qırım Gayesi
"Refat Çubarov, rusiyeniñ Qırımda ketigeni zararnı qıymetlendirmek müimligi aqqında","Рефат Чубаров про важливість оцінки збитків, завданих росією в Криму"
7 sene – işğalciler Appaz Qurtametke üküm çıqardılar,7 років позбавлення волі – окупанти винесли вирок Аппазу Куртамету
Oraza Bayram hayırlı olsun! Зі святом Ораза Байрам!,Зі святом Ораза Байрам! Oraza Bayram hayırlı olsun!
"Qırımtatar Milliy Meclisi, Dunâ Miyatovıçnıñ maruzası içün minnetdarlıq bildire",Меджліс кримськотатарського народу висловлює вдячність за доповідь Дуні Міятович
Uquq qorçalayıcılar qanunsız olaraq tutulğan Leniye Umerovanı azat etmege talap eteler,Правозахисники вимагають звільнення незаконно затриманої Леніє Умерової
İşğalciler ukrain balalarını Qırımdaki mahsus lagerlernen qorqutalar,Окупанти погрожують українським дітям спецтаборами у Криму
Bariiev rusiyeni BMTdan çıqarmağa çağırdı,Барієв закликав виключити росію з ООН
"Qırım köpründe işğalciler, baquv noqtalarınıñ sayısını arttıracaqlar",Окупанти збільшать кількість пунктів огляду на Кримському мосту
Kıyiv vilâyetinde Meclisniñ idare merkezi aşayt mahsualtı berdi,Координаційний центр Меджлісу роздав продуктові набори на Київщині
Qırımdaki qanunsız mobilizatsiya sebebinden 6 biñ qırımtatar yarımadadan ketti – Çubarov,Через незаконну мобілізацію з Криму поїхало 6 тисяч кримських татар – Чубаров
“Hizb ut-Tahrir” davasında maküm etilgen Arsen Cepparov 7 senelik epislikten soñ azat etildi,Засуджений у справі «Хізб ут-Тахрір» Арсен Джеппаров вийшов на волю після 7 років ув’язнення
İşğalciler Qırımdan ailelerini ketireler ve biznesini toqtatalar – Ahtem Çiygöz,Окупанти вивозять з Криму сім’ї та згортають бізнес – Ахтем Чийгоз
Bu senede Qırımda qırımtatarlarnı endi 49 kere tuttılar – QMM,З початку року в Криму 49 разів затримували кримських татар – КРЦ
Kiçik aydan berli siyasiy mabüs Eldar Kantımirovnı rus müstemlekesiniñ ŞİZOdan yibermeyler,Політв’язня Ельдара Кантимірова з лютого не випускають із ШІЗО російської колонії
"Yañı rus qanun leyhası, Qırımnıñ sakinlerine cinaiy mobilizatsiyadan red etmek imkânını yoq ete – uquq qorçalayıcılar",Новий російський законопроєкт унеможливлює відмову кримчан від злочинного призову – правозахисники
"İşğalciler, siyasiy mabüs Dilâver Ğafarovnı ceza izolâtorına oturttılar",Політв’язня Ділявера Гафарова окупанти помістили до штрафного ізолятора
"4 aylıq esirlik – rusiye, qırımtatar qadınınıñ “qırmızı” pasportı olmağanı içün onı esirlikte tuta",4 місяці полону – росія тримає в полоні кримську татарку через відсутність «червоного» паспорту
Ahtem Çiygözniñ taqiplerine ait olğan makemeci 12 senege maküm etildi,"Суддя, причетний до переслідувань Ахтема Чийгоза, засуджений до 12 років"
"Ekim, İrına Danılovıçnıñ eşitüv qabiliyetini coyuv ihtimalini tasdıqladı",Лікар підтвердила вірогідність втрати слуху в Ірини Данилович
Qanunsız olaraq tevqif etilgen İrına Danılovıçnıñ cinaiy davasına irişimi sıñırlandı,Незаконно ув’язненій Ірині Данилович обмежили доступ до кримінальної справи
Qırımtatar juanlistikası kününe,До дня кримськотатарської журналістики
"Ukraina içün muntazam telüke – Refat Çubarov, Qırımnı işğalden azat etmek kerekligi aqqında",Постійна загроза для України – Рефат Чубаров про необхідність деокупації Криму
"Advokat, ağır hasta olğan siyasiy mabüs Amet Suleymanovnen körüşti",Адвокат зустрівся з важкохворим політв’язнем Аметом Сулеймановим
İçtimaiy jurnalist İrına Danılovıç açlıq bitidir,Громадянська журналістка Ірина Данилович припинила голодування
Siyasiy mabüs Amet Suleymanovnı ev tevqifinden izolâtorğa ketirdiler,Політв‘язня Амета Сулейманова перевели з-під домашнього арешту до ізолятора
İnsaniyetsiz şartlar sebebinden siyasiy mabüsler açlıq çekmege qarar bereler,Політв’язні вдаються до голодування через нелюдські умови утримання
Ömür işimdir – Jamala “QIRIM” albomı aqqında,Справа всього життя – Джамала про альбом “QIRIM”
"Qırımda uçucısız cihazlar, rus askerlerinen fermanı ücüm ettiler",У Криму безпілотники атакували ферму з російськими військовими
"Çıqarılmalılar – Taşeva, Qırımdaki ruslar aqqında",Мають бути видворені –Ташева про росіян у Криму
"Aqyar şeerinde işğalciler, demiryolnıñ patlama davası sebeinden qırımtatarnıñ evini tinttiler",Окупанти обшукали  будинок кримського татарина у Севастополі через підрив залізниці
Meclisiniñ Prezidiumınıñ İlânı – Qırımnı beraber azat eteyik!,Заява Президії Меджлісу – Звільнимо Крим разом!
İşğal etilgen Qırımda rus ordusına küz mobilizatsiyası bozuldı,В окупованому Криму зірвали осінній призов до лав російської армії
Jurnalist İrına Danılovıçnı SİZOdan tibbiy teşkerüvge ketirmeyler – aqrabaları,Журналістку Ірину Данилович не вивозять з СІЗО на медичне обстеження – родичі
"USQniñ Baş ştabı: İşğal etilgen Qırımda rus quvetçileri, zorbalıq qullanaraq filtrlev tedbirlerini pekiteler",Генштаб ЗСУ: В окупованому Криму російські силовики посилюють фільтраційні заходи із застосуванням насильства
rusiye qırımtatarlarnı riayetkârsız bir halq olaraq tanıy – uquq qorçalayıcılar,Кримські татари розглядаються росією як нелояльне населення – правозахисники
"Avropa birligi, Qırımda maküm etilgen ukrain jurnalistlerini acelen azat etmege çağırdı",Європейський союз закликав негайно звільнити засуджених у Криму українських журналістів
"10 sene epishanede: işğalciler, qırımtatar Appaz Kurtametni göñülli batalyonğa “para bermek”te qabaatlaylar",10 років в’язниці: окупанти закидають кримському татарину Аппазу Куртамету «фінансування» добробату
Meclisniñ prezidiumınıñ 2024 s. Olimpiya oyunlarında rus ve belarus sportçularınıñ iştirak etmemeleri aqqında arizası,Заява Президії Меджлісу про недопуск російських та білоруських спортсменів на Олімпійські ігри 2024
Qırımda işğalciler daa çoq insan tutmağa ve daa çoq mobilizatsiya şeadetnamesini bermege başladılar – MQM,У Криму росіяни збільшили арешти та видачі повісток кримським татарам — ЦНС
Qırımtatar tili milliy korpusınıñ mütehassısları 700 metinden çoq işlediler,Фахівці Національного корпусу кримськотатарської мови опрацювали понад 700 матеріалів
Bağçasaraydaki tintüvden soñ rus quvetçileri Qurultaynıñ vekilini tuttılar￼,Російські силовики затримали делегата Курултаю після обшуку у Бахчисараї
"Zelenskıy, musulmanlarnı Ramadannen hayırladı",Зеленський привітав мусульман із Рамаданом
"Hoş keldiñ, mübarek Ramazan! Ласкаво просимо, благословенний Рамазан!","Hoş keldiñ, mübarek Ramazan! Ласкаво просимо, благословенний Рамазан!"
rusiyeniñ “devlet hainligi” sebebinden Aqmescit şeeriniñ sakini 12 senege maküm etildi,Мешканця Сімферополя засудили до 12 років через “державну зраду” росії
Meni qılınmağa talap etem ve quru açlık bildirem – jurnalist Danılovıç,Вимагаю припинити знущання з мене й оголошую сухе голодування – журналістка Данилович
İşğalcilerniñ azapları sebebinden jurnalist İrına Danılovıç açlıq çekecek,Журналістка Ірина Данилович оголосить голодування через знущання окупантів
Humenük: Canköydeki patlamalar – tecavuzcılar içün qaçmaq signalıdır,Гуменюк: Вибухи у Джанкої – сигнал тікати для загарбників
"putin, Stalinniñ siyasetini devam ete – Çubarov",путін продовжує політику Сталіна – Чубаров
İsmail Gasprinskiyniñ doğumnıñ 172. seneligi,172 річниця з дня народження Ісмаїла Гаспринського
"İşğalciler, qırımtatar Tayir Seidametovnı alıp TFHniñ binasında tutalar",Окупанти викрали кримського татарина Таїра Сейдаметова й утримують його у будівлі ФСБ
Qırımda qırımtatarlarnıñ yaşağanları yerlerde ruslar “ealini cedvelge alalar” – uquq qorçalayıcılar,У Криму росіяни проводять «перепис населення» в місцях проживання кримських татар — правозахисники
Yarım yüz qırımtatar siyasiy mabüsine tibbiy yardım berilmez – Taşeva,Півсотні кримських політв’язнів не отримують медичну допомогу – Ташева
Qırımda işğalciler faaclini “akimiyetke ürmetsizlik” sebebinden maküm etecekler,Окупанти у Криму судитимуть активіста за “неповагу до влади”
"Türkiye, Qırımda qanunsız referendumnıñ seneligine bağışlanğan ilân yayınladı",Туреччина опублікувала заяву до роковин незаконного референдуму в Криму
BMTnıñ insan aqları nezaret missiyasınıñ vekillerinen körüşüv,Зустріч з представниками Моніторингової місії ООН з прав людини
Qırımda İsmet Cemilev defin etildi,У Криму поховали Ісмета Джемілєва
"Tintüvlerden soñ işğalciler, faalci Rolan Odmanovnı tuttılar",Окупанти після обшуку затримали активіста Ролана Османова
2022 senesi rus müstemlekelerine Qırımdan 15 siyasiy mabüs yollandı – uquq qorçalayıcılar,15 кримських політв’язнів етаповані до російських колоній у 2022 році – правозахисники
İşğalden azat etmek içün tek arbiy yol qala – Mustafa Cemilev,Залишається лише військовий шлях визволення – Мустафа Джемілєв
TFH ukrainalını tuttı ve “qırımtatar batalyonı”nda iştirakine qabaatlay,ФСБ затримала українця та закидає йому участь у «кримськотатарському батальйоні»
İşğalciler Qurultaynıñ vekili Lemmar Yunusovnıñ evini tinttiler,Окупанти провели обшук у делегата Курултаю Леммара Юнусова
Tintüvden soñ işğalciler Ahtem İsmailovnı tuttılar,Окупанти після обшуку затримали Ахтема Ісмаїлова
"Meclis, Türkiyedeki zelzeleden zarar körgenlerge gumanitar yardım yolladı (FOTO)",Меджліс відправив гуманітарну допомогу постраждалим від землетрусів у Туреччині (ФОТО)
Demiryolnıñ patlaması sebebinden işğalciler qırımtatarlarnıñ evlerini tintmege devam eteler,Окупанти продовжують обшуки у кримських татар через підрив залізниці
Ukrainanıñ stereotiplerni bozğanını körem – Nariman Celâlnıñ mektübinden,"Я бачу, що Україна ламає стереотипи – з листа Нарімана Джеляла"
Halqara cumhuriyet institutınen körüşüv,Зустріч із Міжнародним республіканським інститутом
9 senedir Qırımda işğalcilerge qarşı qadınlarnıñ kütleviy numayışları keçirile,9 років тому у Криму відбулися масові акції жінок проти окупації
Balkar halqınıñ sürgünlik künü,День депортації балкарського народу
"İşğalciler qırımtatarnı ve apayını tutıp, olar demiryolnı patladılar dep qabaatlaylar",Окупанти затримали кримського татарина та його дружину і звинувачують у підриві залізниці
Siyasiy mabüs Eskender Abdulhanievni rf vatandaşlığını almağa mecbur ete ediler,Політвʼязня Ескендера Абдулганієва змушували прийняти громадянство рф
Rus ceza izolâtorında siyasiy mabüs Server Zekiryaev mecburen açlıq çeke,Політвʼязень Сервер Зекірʼяєв вимушено голодує у російському ШІЗО
"Qırımda “göñülli müfzereler” peyda olğan soñ Çubarov, casus hastalığı olacaq dep kelecekte haber bere",Чубаров прогнозує шпигуноманію після появ «добровільних дружин» у Криму
USQ Qırımnıñ memuriy sıñırında olacaq vaqıt insanlar olarnı destek etecekler – Bariiev,"Коли ЗСУ будуть на адмінкордоні Криму, люди вийдуть на підтримку — Барієв"
Qırımda Ukraina vatandaşı “qırımtatar batalyonı”nda iştirak etkeni içün maküm etildi,У Криму громадянина України засудили за участь у «кримськотатарському батальйоні»
Refat Çubarov ruslarğa Qırımdan çıqmağa aşıqmağa tevsiye etti,Рефат Чубаров порадив росіянам не затягувати з від’їздом із Криму
Kezlevde işğalciler Herson vilâyetinden 84 balanı reine olaraq tutalar,В Євпаторії окупанти утримують 84 дітей з Херсонщини
"RF taqiqatçı eyyeti, öldürilgen Nabi Rahimovnı “ölümünden soñ qabaatlı olaraq tanındı” dep bildirdi","Слідком рф заявив, що вбитого Набі Рахімова «посмертно визнали винним»"
İşğalciler qırımtatarlarğa “tenbi” berdiler ve dronlar aqqında soradılar,Окупанти вручили “застереження” кримським татарам та розпитували про дрони
"BMTnıñ azaplarğa qarşı eyyeti, siyasiy mabüs Amet Suleymanovnıñ şikâyetine cevap berdi",Комітет ООН проти катувань відреагував на скаргу політв’язня Амета Сулейманова
Bu sene biz Qırımnıñ qaytarılmasına ümüt etemiz – Çubarov,Ми розраховуємо на повернення Криму цього року – Чубаров
Demiryol bozulğanı içün tfh qırımtatarlarnıñ evlerini tintti,фсб провела обшук у кримських татар через пошкодження залізниці
Türkiye Büyük Millet Meclisiniñ mebuslarınen Qırımtatar Milliy Meclisniñ körüşüvi,Зустріч Меджлісу з депутатами Великих національних зборів Туреччини
"Qırımtatar Milliy Meclisiniñ toplağanı gumanitar yardım, Türkiye AFADğa yollandı",Гуманітарна допомога від Меджлісу надійшла до турецького AFAD
Qırımtatar Milliy Meclisiniñ Prezidiumınıñ ilânı,Заява Президії Меджлісу кримськотатарського народу
Küç tapmaq ve dayanmaq – Nariman Celâlnıñ BMTna muracaatı,Знайти сили та вистояти – звернення Нарімана Джеляла до ООН
"Kiçik ay. Dayanıqlıq senesi – Zelenskıy, rfnıñ tecavuzınıñ seneligi aqqında",Лютий. Рік незламності – Зеленський про річницю вторгнення рф
