crh_Latn,eng
"(""Niyetlik"" sözü orta asır qullanuvını aks ettirmege niyetlengen Frants Brentano tarafından yañıdan tiklendi).
","(The word 'intentionality' was revived by Franz Brentano, who was intending to reflect medieval usage).
"
"""Renessans felsefesi"" adı intellektual tarih tedqiqatçıları tarafından Avropada tahminen 1355 ve 1650 yılları arasındaki devir tüşüncesine atıf etmek içün qullanıla (tarihlar merkeziy ve şimaliy Avropa ve Avropanıñ tesiri altında olğan İspan Amerikası, İndistan, Yaponiya ve Qıtay içün ileriley).
","The designation ""Renaissance philosophy"" is used by scholars of intellectual history to refer to the thought of the period running in Europe roughly between 1355 and 1650 (the dates shift forward for central and northern Europe and for areas such as Spanish America, India, Japan, and China under European influence).
"
"Aristotelniñ eserleriniñ bir felsefe añlamasınıñ temeli olğanı faraziyesi, eserleriniñ em latin, em yerli tilde yañı tercime, tefsir ve diger şerhlerniñ inkişafını körgen Renessans devrinde de eksilmedi. 
","The assumption that Aristotle's works were foundational to an understanding of philosophy did not wane during the Renaissance, which saw a flourishing of new translations, commentaries, and other interpretations of his works, both in Latin and in the vernacular.
"
"Zemaneviy munaqaşalarğa belli bir seviyede oşağan soñkisi belli felsefe fikirleriniñ ya da tefsirleriniñ müsbet ve menfiy taraflarını tedqiq etti. 
","The latter, similar in some ways to modern debates, examined the pros and cons of particular philosophical positions or interpretations.
"
"Orta asırlarda yalıñız eki buçuq dialog vastasınen belli olğan Platon, on beşinci asırnıñ İtaliyasında bir çoq latin tercimesi sayesinde meşur oldı ve 1484 senesi Florentsiyada Marsilio Fiçinonıñ bütün işleriniñ pek tesirli tercimesi kulminatsiya oldı.
","Plato, known directly only through two and a half dialogues in the Middle Ages, came to be known through numerous Latin translations in fifteenth century Italy, culminating in the hugely influential translation of his complete works by Marsilio Ficino in Florence in 1484.
"
"Renessans devriniñ bütün gumanistleri onıñ örnegine baqmadı, lâkin Petrarka öz vaqtınıñ ""qaidesiniñ"" kenişlevine issesini qoştı (putperest şiiriyeti bundan evel tüşüncesiz ve telükeli dep sayıldı), bu da felsefede oldı.
","Not all Renaissance humanists followed his example in all things, but Petrarch contributed to a broadening of his time's 'canon' (pagan poetry had previously been considered frivolous and dangerous), something that happened in philosophy as well.
"
"Antik felsefeniñ diger yönelişleri de esas ceryanğa kirdi.
","Other movements from ancient philosophy also re-entered the mainstream.
"
"Çeşit mütefekkirler Tomasnıñ tasnifleri yañlış olğanını ve etikanıñ ahlâqnıñ eñ müim parçası olğanını aytqanı içün bu fikir Renessans devrinde ket-kete kerginleşti. 
","This position came under increasing strain in the Renaissance, as various thinkers claimed that Thomas's classifications were inaccurate, and that ethics were the most important part of morality.
"
"Körgenimiz kibi, olar felsefeniñ ritorika qanatları altına alına bile, dep inana edi.
","As we have seen, they believed that philosophy could be brought under the wing of rhetoric.
"
"1416-1417 seneleri zamanınıñ ulu gumanisti ve Florentsiya kantsleri Leonardo Bruni, Aristotelniñ ""Etikasını"" daa aqıntılı, idiomatik ve klassik latincege tekrar tercime etti.
","In 1416–1417, Leonardo Bruni, the pre-eminent humanist of his time and chancellor of Florence, re-translated Aristotle's Ethics into a more flowing, idiomatic and classical Latin.
"
"Esas inam, onı daa çoq insan oqusın dep, felsefeniñ tehnik jargondan qurtarıluvından ibaret edi.
","The driving conviction was that philosophy should be freed of its technical jargon so that more people would be able to read it.
"
"Ulu Felemenk gumanisti Dezideriy Erazm Aristotelniñ yunanca basqısını bile azırladı ve neticede universitette felsefe derslerini bergenler iç olmasa yunan tilini bilgenlerini yalandan köstermege mecbur edi.
","Desiderius Erasmus, the great Dutch humanist, even prepared a Greek edition of Aristotle, and eventually those teaching philosophy in the universities had to at least pretend that they knew Greek.
"
"Lâkin italyan tiliniñ edebiy qıymetlerine malik olğanı ve felsefe munaqaşalarınıñ ağırlığını taşıy bilecegi belli olğan soñ, hususan 1540-lardan itibaren bu yönelişte bir çoq ıntıluv yapılıp başladı. 
","Once it had been determined, however, that Italian was a language with literary merit and that it could carry the weight of philosophical discussion, numerous efforts in this direction started to appear, particularly from the 1540s onward.
"
"İrade serbestliginen bağlı munaqaşalar alevlenip devam etkenini (misal olaraq, Erazm ve Martin Lüter arasında meşur subetlerde), İspaniya mütefekkirleriniñ alicenaplıq añlamına ket-kete daa çoq berilgenini, duelniñ 16-ncı asırda büyük edebiyat yaratqan bir tecribe olğanını bilemiz (bu mümkün edimi-yoqmı?).
","We know that debates about the freedom of the will continued to flare up (for instance, in the famous exchanges between Erasmus and Martin Luther), that Spanish thinkers were increasingly obsessed with the notion of nobility, that duelling was a practice that generated a large literature in the sixteenth century (was it permissible or not?).
"
"O vaqıtnıñ çoqusı felsefecisiniñ dindar olmasa da, eñ azından, nominal hristian olğanını, 16-ncı asırda protestant ve katolik islâatları olğanını ve Renessans felsefesiniñ Otuz yıllıq cenk devrine (1618-1648) tüşkenini unutmamaq kerek. 
","We must not forget that most philosophers of the time were at least nominal, if not devout, Christians, that the sixteenth century saw both the Protestant and the Catholic reformations, and that Renaissance philosophy culminates with the period of the Thirty Years' War (1618–1648).
"
"Netice olaraq, tüşünce tarihındaki diger er angi an kibi, Renessans felsefesiniñ bütünley yañı bir şey bergeni ya da selefleriniñ hulâsalarını asırlarnen tekrarlamağa devam etkeni sayılmay.
","In conclusion, like any other moment in the history of thought Renaissance philosophy cannot be considered to have provided something entirely new nor to have continued for centuries to repeat the conclusions of its predecessors.
"
"Zemaneviy felsefe - modern devrinde azırlanğan ve zemanenen bağlı felsefedir.
","Modern philosophy is philosophy developed in the modern era and associated with modernity.
"
"17-nci ve 18-inci asırlarğa kelgende aqıl felsefesi, epistemologiya ve metafizikadaki esas sımalar tahminen eki esas gruppağa ayırıldı.
","By the 17th and 18th centuries the major figures in philosophy of mind, epistemology, and metaphysics were roughly divided into two main groups.
"
"""Empiristler"", aksine, bilgi duyğu deñevinen başlamaq kerek olğanını tüşüne ediler.
","The ""Empiricists,"" by contrast, held that knowledge must begin with sensory experience.
"
"Siyaset felsefesindeki diger müim sımalar arasında - Tomas Gobbs ve Jan-Jak Russo.
","Other important figures in political philosophy include Thomas Hobbes and Jean-Jacques Rousseau.
"
"Kant, on doquzıncı asırnıñ başında alman idealizminden başlap, Almaniyada felsefe iş furtunasınıñ sebebi oldı.
","Kant sparked a storm of philosophical work in Germany in the early nineteenth century, beginning with German idealism.
"
"Karl Marks, em Gegelniñ tarih felsefesini, em Britaniyada ükümdar olğan empirik etikanı özümsirek, Gegelniñ ğayelerini qattı bir materialist şekline çevirip, cemiyet iliminiñ inkişafı içün temel qoydı. 
","Karl Marx appropriated both Hegel's philosophy of history and the empirical ethics dominant in Britain, transforming Hegel's ideas into a strictly materialist form, setting the grounds for the development of a science of society.
"
"Artur Şopengauer, idealizmden dünyanıñ obraz ve isteklerniñ nafile soñsuz deñişip turğanından başqa bir şey degil dep hulâsa çıqardı ve ateizm ve pessimizmni imaye etti.
","Arthur Schopenhauer took idealism to the conclusion that the world was nothing but the futile endless interplay of images and desires, and advocated atheism and pessimism.
"
"Dekart, bir çoq üstün sholastik metafizik doktrinası manasız ya da yañlış ola, dep tasdıqladı. 
","Descartes argued that many predominant Scholastic metaphysical doctrines were meaningless or false.
"
"O, mıtlaqa bilgen bir şeyi olıp olmağanını tesbit etmek içün bütün işançlarınıñ mümkün olğanı qadar çoq esapqa almamağa tırışa.
","He tries to set aside as much as he possibly can of all his beliefs, to determine what if anything he knows for certain.
"
"Bu esastan o, bilgisini kene qura.
","From this basis he builds his knowledge back up again.
"
"Tarihçılıq da deñevniñ rolüni qabul etse de, közetüv yapılğan tarihiy ve medeniy allar köz ögüne alınmayıp, is malümatınıñ añlaşılmaycağını tahmin etkeninen empirizmden farqlana. 
","While historicism also acknowledges the role of experience, it differs from empiricism by assuming that sensory data cannot be understood without considering the historical and cultural circumstances in which observations are made.
"
"Bu empirizm birinciden közetüv malümatınıñ ""özüni añlatmasına"" izin berüv idealınen tasvirlene, raqip fikirler ise bu idealğa qarşı çıqa. 
","As such empiricism is first and foremost characterized by the ideal to let observational data ""speak for themselves"", while the competing views are opposed to this ideal.
"
"Başqa söznen: bir qavrayış olaraq empirizm, beraber zemaneviy ilimniñ temelinde olğan çeşit ideallar arasında müim farqlar yapmağa imkân bergen diger qavrayışlarnen beraber qurulmalı.
","In other words: Empiricism as a concept has to be constructed along with other concepts, which together make it possible to make important discriminations between different ideals underlying contemporary science.
"
"Epistemologik olaraq idealizm, aqılnen bağlı olmağan er angi şeyni bilmek imkânı aqqında şübhecilik olaraq kösterile.
","Epistemologically, idealism manifests as a skepticism about the possibility of knowing any mind-independent thing.
"
"O, nazariye tecribeden çıqarılğan ve intellektul ameliyat dep adlandırılğan şeyni şekillendirmek içün ameliyatqa keri qullanılğan esnasnı tasvir ete.
","It describes a process where theory is extracted from practice, and applied back to practice to form what is called intelligent practice.
"
"Brayan Leyter (2006) internet saifesi “Taliliy” ve “Qıta” felsefesi.
","Brian Leiter (2006) webpage “Analytic” and “Continental” Philosophy.
"
"Zemaneviy felsefe - 20-nci asırnıñ başında intizamnıñ artqan ihtisaslılığı ve taliliy ve qıta felsefesiniñ köterilüvinen başlağan Ğarp felsefesi tarihında şimdiki devirdir. 
","Contemporary philosophy is the present period in the history of Western philosophy beginning at the early 20th century with the increasing professionalization of the discipline and the rise of analytic and continental philosophy.
"
"Almaniya felsefeni ihtisaslaştırğan ilk memleket oldı.
","Germany was the first country to professionalize philosophy.
"
"Bundan ğayrı, ilimni populârlaştırmaq ve ilmiy saanıñ tehnik neticelerini ealiniñ keniş qatlamlarına yetiştirmek içün sağlam bir kitap, mecmua ve televizion şouları sanayısı olğan bir çoq ilimden farqlı olıp, ihtisasiy felsefecilerniñ zenaatları tışındaki bir kütle içün yapqan eserleri siyrek qala. 
","Furthermore, unlike many of the sciences for which there has come to be a healthy industry of books, magazines, and television shows meant to popularize science and communicate the technical results of a scientific field to the general populace, works by professional philosophers directed at an audience outside the profession remain rare.
"
"Er bölük büyük yıllıq konferentsiyasını teşkil ete.
","Each division organises a large annual conference.
"
"Birlik, diger bir çoq vazifeden ğayrı, zenaatnıñ bir çoq yüksek mukâfatnı idare etkeninden mesüldir. 
","Among its many other tasks, the association is responsible for administering many of the profession's top honors.
"
"Bu inkişaf, tilniñ zemaneviy mantıq vastasınen yapılğan taliline esaslanğan yañı bir felsefe usulını açqan (""taliliy felsefe"" ıstılası da mından kele) Gottlob Frege ve Bertrana Rasselniñ işinen tahminen aynı vaqıtta edi.
","This development was roughly contemporaneous with work by Gottlob Frege and Bertrand Russell inaugurating a new philosophical method based on the analysis of language via modern logic (hence the term ""analytic philosophy"").
"
"Riçard Rorti ve Saymon Glendinning kibi bazı felsefeciler ""talil-qıta"" bölünüvi intizamğa umumen zıt kele, dep iddia ete.
","Some philosophers, such as Richard Rorty and Simon Glendinning, argue that this ""analytic–continental"" divide is inimical to the discipline as a whole.
"
"Soñra taliliy ve qıta felsefecileri, soñraki felsefecilerniñ öz ananeleri üstünde müimligi ve tesirinen bağlı fikirlerini farqlı köstere. 
","Afterwards, analytic and continental philosophers differ on the importance and influence of subsequent philosophers on their respective traditions.
"
"Taliliy ve qıta felsefesi Kanttan soñ felsefege ne qadar farqlı baqsa da, qıta felsefesi sıq-sıq keniş manada, taliliy felsefe içün degil, qıta felsefesi içün müim olğan Kanttan soñraki er angi felsefeci ve areketlernen beraber añlaşıla. 
","Although, since analytic and continental philosophy have such starkly different views of philosophy after Kant, continental philosophy is also often understood in an extended sense to include any post-Kant philosophers or movements important to continental philosophy but not analytic philosophy.
"
"Şu sebepten qıta felsefesi, taliliy felsefeniñ felsefeni yalıñız tarihiy asıldan ayrı talil etile bilgen diskret problemler ceetinden baquv meyli olğan tarihiylikke meyillik köstere.
","Thus continental philosophy tends toward historicism, where analytic philosophy tends to treat philosophy in terms of discrete problems, capable of being analyzed apart from their historical origins.
"
"Esas ortodoks mektepleri Çağımız ve Gupta İmperiyası arasında bir vaqıtta peyda oldı. 
","The major orthodox schools arose sometime between the start of the Common Era and the Gupta Empire.
"
"Bu diniy-felsefiy ananeler soñra induizm adı altında birleştirildi.
","These religio-philosophical traditions were later grouped under the label Hinduism.
"
"Ğarp alimleri induizmni çeşit tamırları olğan ve yekâne temelcisi olmağan farqlı ind medeniyetleriniñ ve ananeleriniñ birleşüvi ya da sintezi dep saya.
","Western scholars regard Hinduism as a fusion or synthesis of various Indian cultures and traditions, with diverse roots and no single founder.
"
"İnd felsefecileri epistemologik fikir yürsetüv (pramana) ve mantıq sistemasını işlep çıqardı ve ontologiya (metafizika, Brahman-Atman, Sunyatta-Anatta), qaviy bilgi vastaları (epistemologiya, pramanalar), qıymet sisteması (aksiologiya) ve diger mevzularnı tedqiq etti. 
","Indian philosophers developed a system of epistemological reasoning (pramana) and logic and investigated topics such as Ontology (metaphysics, Brahman-Atman, Sunyata-Anatta), reliable means of knowledge (epistemology, Pramanas), value system (axiology) and other topics.
"
"Soñraki inkişaflarda Tantra ve İran-İslâm tesirleriniñ inkişafı bar.
","Later developments include the development of Tantra and Iranian-Islamic influences.
"
"Nyāya ananeviy olaraq dört Pramananı bilgi elde etüvniñ qaviy vastaları olaraq qabul ete - Pratyakṣa (idraq), Anumāṇa (hulâsa), Upamāṇa (qıyaslav ve beñzetüv) ve Śabda (söz, keçmiş ve şimdiki itibarlı ekspertlerniñ şaatlığı).
","Nyāya traditionally accepts four Pramanas as reliable means of gaining knowledge – Pratyakṣa (perception), Anumāṇa (inference), Upamāṇa (comparison and analogy) and Śabda (word, testimony of past or present reliable experts).
"
"Bu felsefe, kâinatnıñ dağılmağan (anitya), bölünmegen ve “kiçik” (aṇu) dep adlandırılğan hususiy bir ölçev çeşiti olğan paramāṇuğa (atomlar) endirilgeninden ibarettir. 
","This philosophy held that the universe was reducible to paramāṇu (atoms), which are indestructible (anitya), indivisible, and have a special kind of dimension, called “small” (aṇu).
"
"Soñra Vayşeşika (Şridhara, Udayana ve Şivaditya) daa bir abhava (yoqluq) kategoriyasını qoştı.
","Later Vaiśeṣikas (Śrīdhara and Udayana and Śivāditya) added one more category abhava (non-existence).
"
"Mīmāṃsā, metin tedqiqi ve yoravına diqqat etkenleri içün, diger ind mekteplerine tesir etken filologiya nazariyelerini ve til felsefesini de inkişaf ettirdi. 
","Because of their focus on textual study and interpretation, Mīmāṃsā also developed theories of philology and the philosophy of language which influenced other Indian schools.
"
"Cain felsefesiniñ ayırdı etici çizgisi aqıl-beden ekiciligi, yaratıcı ve er şeyge qadir olğan Tañrını red etüv, karma, ebediy ve yaratılmağan bir dünya, zorbalıqsızlıq, aqiqatnıñ çoq tarafı nazariyesi ve ruhnıñ azat etilüvine esaslanğan ahlâq ola. 
","The distinguishing features of Jain philosophy include a mind-body dualism, denial of a creative and omnipotent God, karma, an eternal and uncreated universe, non-violence, the theory of the multiple facets of truth, and morality based on liberation of the soul.
"
"Aqiqatnıñ nisbiy ve çoq taraflı olğanını israr etkeni ve raqip felsefeniñ bütün ola bilgen noqta-i nazarlarını qabul etmege azır olğanı içün felsefe liberalizminiñ örnegi dep adlandırıla.
","It has also been called a model of philosophical liberalism for its insistence that truth is relative and multifaceted and for its willingness to accommodate all possible view-points of the rival philosophies.
"
"Brihaspati kibi Çarvaka felsefecileri o vaqıtnıñ diger felsefe mekteplerini bayağı tenqit etti. 
","Cārvāka philosophers like Brihaspati were extremely critical of other schools of philosophy of the time.
"
"O, Tibet ve Şri Lanka ve Birma kibi Cenübiy-Şarqiy Asiya memleketlerinde üstün olğan felsefe ananesidir. 
","It is the dominant philosophical tradition in Tibet and Southeast Asian countries like Sri Lanka and Burma.
"
"Daa soñraki buddist felsefe ananeleri ""Abhidharma"" dep adlandırılğan mürekkep fenomenologik psihologiyalarnı inkişaf ettirdi.
","Later Buddhist philosophical traditions developed complex phenomenological psychologies termed 'Abhidharma'.
"
"Bu anane, ind felsefesinde ""epistemologik deñişme"" adını alğan şeyge issesini qoştı.
","This tradition contributed to what has been called an ""epistemological turn"" in Indian philosophy.
"
"Buddist modernizminiñ müim temsilcileri arasında - Anagarika Dharmapala (1864-1933) ve amerikalı Genri Stil Olkott, çin modernistleri Taysü (1890-1947) ve İn Şun (1906–2005), Zen alimi D.T.Sudzuki ve tibetli Gendün Çophel (1903-1951).
","Important exponents of Buddhist modernism include Anagarika Dharmapala (1864–1933) and the American convert Henry Steel Olcott, the Chinese modernists Taixu (1890–1947) and Yin Shun (1906–2005), Zen scholar D.T. Suzuki, and the Tibetan Gendün Chöphel (1903–1951).
"
"Beşeriyat, keçmişteki insan türlerinen beraber em şimdiki, em de keçmişteki insan areket tarzı, onıñ ayatiyatı, medeniyetleri ve cemiyetleri ile bağlı insanlıqnıñ ilmiy tetqiqatıdır. 
","Anthropology is the scientific study of humanity, concerned with human behavior, human biology, cultures and societies, in both the present and past, including past human species.
"
"Ayatiyat ya da fizikiy beşeriyat insannıñ ayatiyat inkişafını ögrenmekte.
","Biological or physical anthropology studies the biological development of humans.
"
"Artıq beşeriyatçılarnıñ türlü qısqa müddetli teşkilâtları teşkil etilgen edi.
","Various short-lived organizations of anthropologists had already been formed.
"
"1848 senesi Frenkistanda qulluq lâğu etilgende, Cemiyet dağıtıldı. 
","When slavery was abolished in France in 1848, the Société was abandoned.
"
"Olar içün Çarlz Darvinniñ ""Türlerniñ peyda olması aqqında"" kitabınıñ neşir etilmesi, şübelenip başlanğanları er şeyniñ añlaması oldı.
","For them, the publication of Charles Darwin's On the Origin of Species was the epiphany of everything they had begun to suspect.
"
"Deral onıñ içtimaiy ilimlerge kirsetme ihtiyacı peyda oldı. 
","There was an immediate rush to bring it into the social sciences.
"
"Onıñ tarifi artıq ""bir bütün olaraq, detallerinde ve qalğan tabiatqa munasebette baqılğan insan gruppasınıñ ögrenilmesine çevirildi"".
","His definition now became ""the study of the human group, considered as a whole, in its details, and in relation to the rest of nature"".
"
"O, bugün Broka mıntaqası olaraq adlandırılğan insan miyiniñ laqırdı merkezini keşif etti. 
","He discovered the speech center of the human brain, today called Broca's area after him.
"
"Soñki eki cılt ölüminden soñ neşir etildi. 
","The last two volumes were published posthumously.
"
"O, qıyaslama içün malümat empirik olması, deñev yolunen toplanması kerekligini qayd etmekte.
","He stresses that the data of comparison must be empirical, gathered by experimentation.
"
"Vayts Britaniya etnologları arasında nufuzlı edi. 
","Waitz was influential among the British ethnologists.
"
"Fransız cemiyetiniñ temsilcileri bar edi, amma Brokanıñ yoq.
","Representatives from the French Société were present, though not Broca.
"
"Evel Edvard özüni etnolog, daa soñra beşeriyatçı adlandırdı. 
","Previously Edward had referred to himself as an ethnologist; subsequently, an anthropologist.
"
"Közge körüngen istisna tekamülcilerge qarşı sert ücümler ile belli olğan Rudolf Virhov tarafından qurulğan Berlin beşeriyat, etnologiya ve esaslar (1869) cemiyeti edi. 
","One notable exception was the Berlin Society for Anthropology, Ethnology, and Prehistory (1869) founded by Rudolph Virchow, known for his vituperative attacks on the evolutionists.
"
"Esas nazariyeciler bu teşkilâtlarğa mensüp edi. 
","The major theorists belonged to these organizations.
"
"Ameliy beşeriyat peyda oldı - muayyen meselelerniñ çezilmesi içün beşeriyat bilgilerini ve tehnikalarını qullanuv; misal olaraq, defin etilgen qurbanlarnıñ olması soñ levhanıñ tasvir etilmesi içün mahkeme atiqiyatçınıñ celp etilmesine stimul bere bilir. 
","Practical anthropology, the use of anthropological knowledge and technique to solve specific problems, has arrived; for example, the presence of buried victims might stimulate the use of a forensic archaeologist to recreate the final scene.
"
"Bu, Boasanıñ XIX asırnıñ ırq mefküresine qarşı delillerden başlap, Margaret Midniñ cınsiyet teñligi ve cınsiy serbestlik oğrunda çıqışlarınen, ve postkolonial zulumınıñ zemaneviy tenqidine ve çoqmedeniylikniñ ileriletilmesine qadar, hususan Birleşken Devletlerde közge körüngen edi. 
","This has been particularly prominent in the United States, from Boas' arguments against 19th-century racial ideology, through Margaret Mead's advocacy for gender equality and sexual liberation, to current criticisms of post-colonial oppression and promotion of multiculturalism.
"
"Büyük Britaniya ve İtifaqdaş memleketlerinde ingliz içtimaiy beşeriyat ananesi üstünlik teşkil etmekte. 
","In Great Britain and the Commonwealth countries, the British tradition of social anthropology tends to dominate.
"
"Medeniy beşeriyat insanlarnıñ etrafındaki alemni añlamlandırmasınıñ türlü usullarınıñ teñeştirme tetqiqidir, içtimaiy beşeriyat ise ayrı insanlar ve gruppalar arasında munasebetlerniñ ögrenilmesidir. 
","Cultural anthropology is the comparative study of the manifold ways in which people make sense of the world around them, while social anthropology is the study of the relationships among individuals and groups.
"
"Ekisi arasında qattı ve açıq farq yoq ve bu kategoriyalar belli bir derecede kesişe. 
","There is no hard-and-fast distinction between them, and these categories overlap to a considerable degree.
"
"Bu leyha sıq-sıq qavmiyat saasında yerleşe. 
","This project is often accommodated in the field of ethnography.
"
"İştirakçilerni közetme içtimaiy ve medeniy beşeriyatnıñ esas usullarından biridir. 
","Participant observation is one of the foundational methods of social and cultural anthropology.
"
"Soyluq ve içtimaiy teşkil etmeniñ tetqiq etilmesi içtimaiy medeniy beşeriyatnıñ merkeziy yönelişidir, çünki soyluq insan içün universaldir.
","The study of kinship and social organization is a central focus of sociocultural anthropology, as kinship is a human universal.
"
"Qavmiyat vastasız tecribeni ve içtimaiy köntekstni müim saya.
","Ethnography views first-hand experience and social context as important.
"
"Etnomuzıkologiya ocalıq, siyaset, medeniy beşeriyat kibi türlü saalarda qullanıla bilir. 
","Ethnomusicology can be used in a wide variety of fields, such as teaching, politics, cultural anthropology etc.
"
"İqtisadiy beşeriyat esasen deñişmege fokuslanmağa devam etmekte.
","Economic Anthropology remains, for the most part, focused upon exchange.
"
"Bu yönelişlerden birincisi tekamül ""qabile"" stereotiplerine duçar olğan ""kapitalizmden evelki"" cemiyetlerge ait edi.
","The first of these areas was concerned with the ""pre-capitalist"" societies that were subject to evolutionary ""tribal"" stereotypes.
"
"Ne içün inkişaf saasında çalışqanlar tarih ve onıñ ibret derslerini körmemezlikke urmağa bu qadar azırlar? 
","Why are those working in development so willing to disregard history and the lessons it might offer?
"
"Soyluq çerçivesinde siziñ eki türlü qorantañız bar.
","Within kinship you have two different families.
"
"Beşeriyat, körüşleri ve tecribesi Avropa, Amerika ve başqa memleketlerdeki beyaz feministkalarnıñ körüşleri ve tecribesinden farqlana bilgen Ğarptaki ananelerden olmağan başqa feministkalarnen sıq-sıq bağlı ola.
","Anthropology engages often with feminists from non-Western traditions, whose perspectives and experiences can differ from those of white feminists of Europe, America, and elsewhere.
"
"Siyasiy beşeriyat esasen devlet tarafından idare etilmegen cemiyetlerde siyasetnen oğraşqan bir ilim kibi inkişaf etti, yañı bir inkişaf 1960 seneleri başlandı ve bugünge qadar devam etmekte: beşeriyatçılar devletlerniñ, resmiyetçiliklerniñ ve bazarlarnıñ mevcudiyetietiniñ em qavmiyat esabatlarına, em de yerli adiselerniñ taliline kirgen daa ""qıyın"" içtimaiy şaraitlerni ziyade ögrenip başladı.
","Political anthropology developed as a discipline concerned primarily with politics in stateless societies, a new development started from the 1960s, and is still unfolding: anthropologists started increasingly to study more ""complex"" social settings in which the presence of states, bureaucracies and markets entered both ethnographic accounts and analysis of local phenomena.
"
"Ekincide, beşeriyatçılar ket-kete devletler ve olarnıñ institutları (ve resmiy ve resmiy olmağan siyasiy institutlar arasında munasebetler) ile itizamiy bir qayğı inkişaf etip başladılar. 
","Secondly, anthropologists slowly started to develop a disciplinary concern with states and their institutions (and on the relationship between formal and informal political institutions).
"
"Bazıda onı içtimaiy medeniy beşeriyat ile birleştireler, bazıda ise maddiy medeniyetniñ bir qısmı olaraq sayalar.
","It is sometimes grouped with sociocultural anthropology, and sometimes considered part of material culture.
"
"Aynı zamanda bu, bugün bar olğan ya da olmağan türlü qavmiy gruppalarnıñ tarihınıñ ögrenilmesidir.
","It is also the study of the history of various ethnic groups that may or may not exist today.
"
"Ğarp dünyasındaki ve ""üçünci dünyadaki"" (soñkisi adetince beşeriyatçılarnıñ diqqat merkezindedir) türlü içtimaiy esnaslar """"başqa medeniyetler"" deki mütehassıslarnıñ"" diqqatını daa da yaqınlaştırdı.
","Various social processes in the Western World as well as in the ""Third World"" (the latter being the habitual focus of attention of anthropologists) brought the attention of ""specialists in 'other cultures'"" closer to their homes.
"
"Bu, bir sıra diger ilimlernen, şu cümleden de beşeriyat, etnologiya, tibbiyet, ruhiyat, baytarlıq ve ayvaniyatnen kesişken ilimlerara saasıdır.
","It is an interdisciplinary field that overlaps with a number of other disciplines, including anthropology, ethology, medicine, psychology, veterinary medicine and zoology.
"
"Bu, taş olıp qalğan kemikler ve ayaq izleri kibi göminid taşıl delillerden eski insanlarnıñ ögrenilmesidir.
","It is the study of ancient humans, as found in fossil hominid evidence such as petrifacted bones and footprints.
"
"1989 senesi beşeriyat saasında bir gruppa Avropa ve Amerika alimleri Avropada çalışqan beşeriyatçılar içün esas ihtisaslı teşkilât kibi hızmet etken Avropa içtimaiy beşeriyatçılar birleşmesini (EASA) qurdı.
","In 1989, a group of European and American scholars in the field of anthropology established the European Association of Social Anthropologists (EASA) which serves as a major professional organization for anthropologists working in Europe.
"
"Bu, medeniyetlerniñ başqalarnıñ degerliklerine ya da noqta-i nazarlarına köre qıymetledirmemesi, öz şartlarına köre ğarazsız olaraq baqılması kerekligi aqqında añlamdır. 
","This is the notion that cultures should not be judged by another's values or viewpoints, but be examined dispassionately on their own terms.
"
"Frants Boas ABD-niñ Birinci cian cenkinde iştirak etmesine açıq şekilde qarşı çıqtı, cenkten soñ ise alim adları altında Meksikada casuslıq yapqan bir qaç Amerika atiqiyatçılarınıñ iştiragine qısqa bir açıqlama ve ayıplama yayınladı.
","Franz Boas publicly objected to US participation in World War I, and after the war he published a brief expose and condemnation of the participation of several American archaeologists in espionage in Mexico under their cover as scientists.
"
"Aynı zamanda, Devid H. Praysnıñ Suvuq Cenk devrinde Amerika beşeriyatına bağışlanğan işinde kommunist stmpatiyasına köre bir qaç beşeriyatçınıñ taqip etilmesi ve işten çıqarılması aqqında tafsilâtlı ikâye etile.
","At the same time, David H. Price's work on American anthropology during the Cold War provides detailed accounts of the pursuit and dismissal of several anthropologists from their jobs for communist sympathies.
"
"Cenkni onıñ bütün aspektleri ile ayıplağan çoq sayılı qararlar Amerika beşeriyat birleşmesiniñ (AAA) yıllıye toplaşuvlarında bastırıcı çoqluqta qabul etildi.
","Numerous resolutions condemning the war in all its aspects were passed overwhelmingly at the annual meetings of the American Anthropological Association (AAA).
"
"Büyük Britaniyanıñ ve İttifaqdaşlıq memleketleriniñ (ASA) içtimaiy beşeriyatçıları birleşmesi bazı ilmiy tetqiqatlarnı etik ceetinden telükeli adlandırdı.
","The Association of Social Anthropologists of the UK and Commonwealth (ASA) has called certain scholarship ethically dangerous.
"
"Esas hususiyetlerinden biri, beşeriyatnıñ adiselerniñ aqqında nisbeten bir bütün esabat bermege tırışqanıdır ve olduqça empirik olmağa meyli olğanıdır. 
","One of the central characteristics is that anthropology tends to provide a comparatively more holistic account of phenomena and tends to be highly empirical.
"
"Yerde közetile bilgenler ile pek çoq yerli közetmelerden közetile bilgenler arasındaki bu dinamik munasebetler, medniyet, ayatiyat, tilşınaslıq ya da atiqiyat olsun, beşeriyatnıñ er angi çeşitinde temel olaraq qalır. 
","These dynamic relationships, between what can be observed on the ground, as opposed to what can be observed by compiling many local observations remain fundamental in any kind of anthropology, whether cultural, biological, linguistic or archaeological.
"
"Ayatiyat ya da fizikiy ceetinden insan ölçevleri, genetik nümüneler, ğıdalanma aqqında malümat toplanıp, maqaleler ya da monografiyalar şeklinde derc etile bilir. 
","On the biological or physical side, human measurements, genetic samples, nutritional data may be gathered and published as articles or monographs.
"
