crh_Cyrl,eng
Къушлар энди ерге тизилип беклемейлер.,The birds no longer waited on the ground.
Олар эписи тереклернинъ пытакъларына агъыр кевделерини ерлештирип отуралар.,"They sat on the branches of trees,placing their heavy bodies."
Олар даа да чокълаштылар.,There were many more of them.
"Инсангъа хызмет этип, оны бакъып тургъан огълан, тёшеги янында беклеп тура.",His personal boy was sitting by the bed.
"– Memsahib” авламагъа кетти, – деди огълан.","""Memsahib's gone to shoot,"" the boy said."
– “Bwana” бир шей истейми?,"""Does Bwana want?"""
"– Ёкъ, бир шей истемейим."," — No, I don't want nothing."
"Къадын авлап, бир парча эт тапып кетирмеге кетти, Хэрри не къадар авны сейир этмеге севгенини билип, Инсан оны корип ве нетиджеде раатсызланып оламагъан, тюзлюкнинъ узакъча бир кошечигине кетти.","She had gone to kill a piece of meat and, knowing how he liked to watch the game, she had gone well away so she would not disturb this little pocket of the plain that he could see."
"– Къадын эр бир япкъан ишини тюшюнип япа, – деген фикир Инсаннынъ акълына кельди.","- She was always thought about what she has done,- such a thought came to his mind."
"– Эр бир бильген, окъугъан шейи акъкъында, я да эшиткен шейине, о пек дикъкъат эте.","On anything she knew about, or had read, or that she had ever heard."
"О Къадыннен таныш олгъанда, озюнинъ ички дюньясы энди бус-бутюн бош олып къалгъан эди, ве Къадыннынъ бу меселеде бир къабааты асыл да ёкъ эди.","By the time he met the woman,his inner world was now completely empty, and she had nothing to do with it."
"О Къадын, сени айткъанларынъда бир мана олмагъаныны; айткъан лафларынъ бутюнлей тек адет узьре олгъаны ве онъайтлы яшамакъ ичюн айтылгъан сёзлер олгъаныны къайдан бильмели?",How could a woman know that you meant nothing that you said; that you spoke only from habit and to be comfortable?
Айткъанларынъда бир мана олмагъанында ялан сезлер къадынларда керчек сёзлеринден даа мувафакъиетли эдилер.,"After he no longer meant what he said, his lies were more successful with women than when he had told them the truth."
"Та о къадар чокъ ялан да айтмаз эди, чюнки айтмагъа акъкъы да ёкъ.",It was not so much that he lied as that there was no truth to tell.
"Энди о озь омрюнинъ сонъуна кельди, ве кене де оны янъыдан башкъа адамларнен, даа да номай паранен, дюньянынъ энъ яхшы ерлеринде онъайтлы ерлешип яшамакънен, башта корьген ерлернинъ энъ гузеллеринде ве базыда янъы, эвельден асыл да корьмеген ерлерде булунып, яшап башлады.","He had had his life and it was over and then he went on living it again with different people and more money, with the best of the same places, and some new ones."
"Бир шей акъкъында тюшюнмеге ихтияджы олмады, шу ал онынъ ичюн пек аджайип эди.",You kept from thinking and it was all marvellous.
"Ички дуйгъулары тарафындан о къадар онъайтлы, дигерлери киби озюни тюшюндженен парчаламагъа да ихтияджы ёкъ ве керекмей, ойле корюниш япасынъ, санъки башта япкъан ишинъни шимди сенинъ ичюн асыл да эмиети ёкъ, шимди, энди сен о ишни асыл да япып оламагъанда…","You were equipped with good insides so that you did not go to pieces that way, the way most of them had, and you made an attitude that you cared nothing for the work you used to do, now that you could no longer do it."
"Лякин, озь-озюнъе айтасынъ, сен бу инсанлар акъкъында бир кунь ола, вакъыт келир, язарсынъ; пек зенгинлер акъкъында язарсынъ; сен олардан бириси олмагъанынъ акъкъында да язарсынъ, сен оларнынъ арасында, дюньясында садедже джасуссынъ; вакъыт келир, сен оларнынъ диярыны ташлап, олар акъкъында язарсынъ, я да башкъа биреви, не акъкъында язгъаныны пек яхшы бильген инсан, язар.","But, in yourself, you said that you would write about these people; about the very rich; that you were really not of them but a spy in their country; that you would leave it and write of it and for once it would be written by some one who knew what he was writing of."
"Лякин, о, шахсий озю, бир вакъыт язмаз, чюнки эр бир язмагъан куню, эр бир тынч, арекетсиз яшап кечирген куню, нефрет эткен инсанлардан бириси олып къала, озь къабилиетини сёндюрип, токътатып, ишке озь авеслигини кесип, ахыр-сонъу бир шей япмайып яшай.","But he would never do it, because each day of not writing, of comfort, of being that which he despised, dulled his ability and softened his will to work so that, finally, he did no work at all."
"Шимди танышларынынъ эписи онынъ чалышмагъанына къуванып, раат олдылар.",The people he knew now were all much more comfortable when he did not work.
"Омрюнинъ энъ яхшы вакъытларында яшагъан ери Африка олды, шунынъ ичюн олар мында бир даа, янъыдан башламакъ ичюн кельдилер.","Africa was where he had been happiest in the good time of his life, so he had come out here to start again."
Бу сафарини олар пек онъайтлыкънен тешкилятландырмагъа тырыштылар.,They had made this safari with the minimum of comfort.
"Агъырлыкъ чекмедилер, лякин боллукъ да ёкъ эди, ве кене де бойле яшап алышмагъа керек олгъаны акълына кельди.",There was no hardship; but there was no luxury and he had thought that he could get back into training that way.
"Санки юрегини къаплап саргъан ягъны иритмек киби олды, айны бойле этип курешчи дагъларгъа чалышмагъа ве талим алмагъа барып, беденине саргъан ягъны ёкъ эте.",That in some way he could work the fat off his soul the way a fighter went into the mountains to work and train in order to burn it out of his body.
Бу Къадын оны бегене.,She had liked it.
"Бегенем, деп айта эди.",She said she loved it.
"Эр бир меракълы, аджайип, онъа таныш олмагъан ерлерге алып барды ве анда янъы, асыл да танымагъан инсанлар яшагъан ерлерни корьди, о ерлерде эр бир шей аджайип олгъаныны о бегене эди.","She went to every interesting,wonderful and unfamiliar place,and saw there new,completely unfamiliar places where people live,and in those parts she liked the fact that every thing seemed beautiful."
"Инсаннынъ чалышмагъа истеги, ирадеси пейда олувы садедже хаял олгъаныны дуйды.",And he had felt the illusion of returning strength of will to work.
"Эм де бойле этип омрюнинъ сонъуна етеджек олса, Инсан да оны дуя, демек, ойле де оладжакъ, ве о, белькемиги къырылгъаны ичюн озь-озюни тишлеген йылангъа бенъзетмемек керек.","Now if this was how it ended, and he knew it was, he must not turn like some snake biting itself because its back was broken."
Бу шейде Къадыннынъ къабааты ёкъ.,It wasn't this woman's fault.
"Бу Къадын олмаса, башкъасы олур эди.",If it had not been she it would have been another.
"Яланнен яшап алышкъан сонъ, яланнен да ольмеге тырышмакъ керек.",If he lived by a lie he should try to die by it.
Инсан къыр артындан тюфек давушыны эшитти.,He heard a shot beyond the hill.
"Къадын пек яхшы тюфекнен ата, бу зенгин къанджыкъ, мерхаметли хаста бакъыджысы ве онынъ истидатынынъ эсас йыкъыджысы, эписи бу Къадын эди.","She shot very well this good, this rich bitch, this kindly caretaker and destroyer of his talent."
Сачмаламакъ.,Nonsense.
"О озь-озюнинъ истидатыны йыкъып, гъайып этти.",He had destroyed his talent himself.
"Не ичюн шимди о, оны яхшы, сабырнен бакъкъан Къадынны къабаатлай?",Why should he blame this woman because she kept him well?
"О, озь-озюнинъ истидатыны ишлетмейип, озюни сатып, озь умютлерини сатып, та анълайышыны джойгъан дереджеге къадар ичип, тенбелликнен, къалпазанлыкънен, кибирликнен, гъурур, хурафат ве эр тюрлю эмиш-демишнен гъайып этти.","He had destroyed his talent by not using it, by betrayals of himself and what he believed in, by drinking so much that he blunted the edge of his perceptions, by laziness, by sloth, and by snobbery, by pride and by prejudice, by hook and by crook."
Бу аслында не эди?,What was this?
Эски китапларнынъ къабаатымы?,A catalogue of old books?
/*Истидат акъкъында не дейим ?*/,What was his talent anyway?
"Эльбетте, о акъикъий истидат саиби, лякин озь истидатыны файдалы ишлетмеси ерине, оны тиджарет этип къулланды.","It was a talent all right but instead of using it, he had traded on it."
"О бир вакъыт онынъ эсасында тиджарет де япып олмады, лякин беджерип олгъаны тек о эди.","It was never what he had done, but always what he could do."
"Озь ашайджакъ отьмегини къалем ве къуршун къалем иле къазанаджагъы ерине, чешит дигер бир ёлларны сечип алды.",And he had chosen to make his living with something else instead of a pen or a pencil.
"Кене де, шашыладжакъ бир шей, ойле дегильми, башкъа бир къадынгъа севда олса, шу къадыннынъ парасы мытлакъа эвельки къадыннынъ парасындан зияде олмалы эдими?","It was strange, too, wasn't it, that when he fell in love with another woman, that woman should always have more money than the last one?"
"Лякин онынъ севгиси битип сонъуна кельсе, о тек темиз ялан айтып башласа, тамам шимди бу Къадынгъа айткъаны киби, о заман шу янъы тапкъан къадыннынъ эписинден зияде парасы олмалы эди, шимди тамам мында бутюн параларнынъ саиби олгъан шу Къадын эди. Шу Къадыннынъ къоджасы ве балалары бар эди. Къадыннынъ ойнашлары да олгъан ве ойнашларынен о пек мемнюн олмагъан. Шимди шу Къадын оны джан юректен севе, эркек оларакъ севе, аркъадашы оларакъ севе, ве бир гузель шейнинъ гъурурлы саиби оларакъ севе; шашыладжакъ шей, шу Къадынны о асыл да севмегенде ве бутюнлей яланлар айткъанда, севген заманындан да зияде эмиет, севги, дикъкъат тек онынъ парасы ичюн айыра эди.","But when he no longer was in love, when he was only lying, as to this woman, now, who had the most money of all, who had all the money there was, who had had a husband and children, who had taken lovers and been dissatisfied with them, and who loved him dearly as a writer, as a man, as a companion, and as a proud possession; it was strange that when he did not love her at all and was lying, that he should be able to give her more for her money than when he had really loved."
"– Япкъанларымыз ичюн эпимизни парча-кесек япып ташламагъа керек, – деп тюшюнди о.","We must all be cut out for what we do, he thought."
"Насыл да олса, биз ашайджакъ отьмегимизни не чаре тапып къазансакъ, демек, истидатымыз да о ерде сакълангъан.",However you make your living is where your talent lies.
"Эр алда, яшамакъ ичюн берильген бутюн омюр кучьлерини, о аяты девамында сатты.","He had sold vitality, in one form or another, all his life."
"Озюнъни чалышып беджерген, бегенген шейлеринъни омрюнъде къулланмасанъ, сен, нетиджеде, парагъа зияде эмиет бермеге башлайсынъ.",Аnd when your affections are not too involved you give much better value for the money.
"Инсан бу шейни анълады, лякин, бу шей акъкъында да бир вакъыт, бир шей о язмаз, акъикъатында исе, о язмагъа пек ляйыкъ олгъан бир шейдир.","He had found that out but he would never write that, now, either,no, he would not write that, although it was well worth writing."
"Къадын энди къырлар артындан пейда олып, лагерьге таба ачыкълыкъ ерден корюнди.","Now she came in sight, walking across the open toward the camp."
О ат устюнде юрмек ичюн бол панталонлар кийген ве къолунда тюфеги бар.,She was wearing jodphurs and carrying her rifle.
Эки огълан бала пешинден кийик къойны салландырып келелер.,The two boys had a Tommie slung and they were coming along behind her.
"Инсаннынъ шимди акъылына бойле шей кельди:  Къадыннынъ корюниши але даа гузель, бедени де гузель.","She was still a good-looking woman, he thought, and she had a pleasant body."
"Севги усталыгъына да буюк анълайышы ве истидаты бар, бети исе, шырныкълы дегиль, лякин онынъ бетини де Инсан бегене, Къадын пек чокъ окъуй, аткъа минмеге ве тюфекнен атмагъа севе, ве, эльбетте, пек чокъ иче.","She had a great talent and appreciation for the bed, she was not pretty, but he liked her face, she read enormously, liked to ride and shoot and, certainly, she drank too much."
"Къоджасы кечингенде, Къадын даа яш эди, бир муддет о балаларынен огърашты, балалары исе, анасына мухтадж олмадылар, аналары янларында олгъанларында, онынъ атлар аранларындан, китапларындан ве ичкен шишелеринден агъырсынып, утана эдилер.","Her husband had died when she was still a comparatively young woman and for a while she had devoted herself to her two just-grown children, who did not need her and were embarrassed at having her about, to her stable of horses, to books, and to bottles."
Къадын акъшамлары емектен эвель окъумагъа севе эди ве окъугъан вакъытларында Искотч виски ве содасыны иче эди.,She liked to read in the evening before dinner and she drank Scotch and soda while she read.
"Емек заманына къадар о энди яхшы сархош ола ве емек вакътында да ичкен бир дане даа шише шараптан сонъ о геджени, ниает, тапып, юкълап къала эди.",By dinner she was fairly drunk and after a bottle of wine at dinner she was usually drunk enough to sleep.
Бу ойнашларындан эвель олгъан вакъиалар эди.,That was before the lovers.
"Ойнашлары пейда олгъан сонъ, Къадын о къадар чокъ ичмеди, чюнки юкъламакъ ичюн сархош олмагъа ихтияджы къалмады.",After she had the lovers she did not drink so much because she did not have to be drunk to sleep.
"Лякин, ойнашлар да оны бездирди.",But the lovers bored her.
"Къадыннынъ эвленип яшагъан инсаны исе, оны бир вакъыт бездирмеди, бу инсанлар исе, оны пек бездире эдилер.",She had been married to a man who had never bored her and these people bored her very much.
"Апансыздан балаларындан бириси учакъ къазасына огърап, гъайып олды. Бу белядан сонъ Къадын бир де бир ойнашны бир даа къабул этмеди ве янъы аят башламагъа меджбур олды.","Then one of her two children was killed in a plane crash and after that was over she did not want the lovers, and drink being no anaesthetic she had to make another life."
Къадында бир кереден пек аджджы янъгъызлыкъ дуйгъусы пейда олды.,"Suddenly, she had been acutely frightened of being alone."
Лякин Къадын озь янында урьметке ляйыкъ инсанны корьмеге истеди.,But she wanted some one that she respected with her.
Эр бир шей пек енгиль ве саде олып башланды.,Everything became very easy and simple.
Къадын онынъ язгъан шейлерини бегене ве кечирген омрюне сукълана эди.,She liked what he wrote and she had always envied the life he led.
"Къадын, бу Инсан тек озь истеген шейни япып яшай, деп белледи.",She thought he did exactly what he wanted to.
"Къадын бу Инсанны озюне бойсундырып, мефтюн этип озюне багъламакъ ичюн япкъан басамакълары, ниает нетидже олып, онъа севда олгъаны – эписи бир адий инкишафнынъ къысмыдыр ве бойле этип озюне янъы бир омюр къурды, эркек исе, озюнинъ эски аятындан сонъки къалгъан шейлерини сатты.",The steps by which she had acquired him and the way in which she had finally fallen in love with him were all part of a regular progression in which she had built herself a new life and he had traded away what remained of his old life.
"Оны озь хафсызлыгъы ве онъайтлы яшайышы ичюн япты, буны о ред этмей, я да о даа не ичюн олмалы?","He had traded it for security, for comfort too, there was no denying that, and for what else?"
Инсан озю де анъламай!,He did not know.
"Къадыннынъ, бу эркек не истесе бермеге имкяны бар эди.",She would have bought him anything he wanted.
Инсан буны биле.,He knew that.
"Эм де, бу Къадын шейтангъа уйгъан киби аджайип гузель.",She was a damned nice woman too.
"Эркек тёшекте эр анги къадыннен ола билир эди; лякин дигерлеринден зияде бу Къадыннен олмакъ истер эди, чюнки бу Къадын эписинден зенгин ве бир шейге дава чыкъармай.","He would as soon be in bed with her as any one; rather with her, because she was richer, because she was very pleasant and appreciative and because she never made scenes."
"Шимди исе, бу Къадыннен янъыдан къургъан аяты сонъуна келеята, чюнки эки афта эвельси о тизини тикеннен сыдыргъанда, ярасына йод сюртмеди, олар шу заман антилопалар сюрюси пешинден фотосуретлер чыкъармакъ меселесинен огъраша эдилер; антилопалар, башларыны тиклеп, чевре-четини дикъкъат иле незарет этмектелер, бурун къанатлары авада олгъан къокъуларны тешкере, тикленген ачыкъ къулакълары бир зерре давуштан оларны чегерелер ичине къачтырмагъа азыр эди.","And now this life that she had built again was coming to a term because he had not used iodine two weeks ago when a thorn had scratched his knee as they moved forward trying to photograph a herd of waterbuck standing, their heads up, peering while their nostrils searched the air, their ears spread wide to hear the first noise that would send them rushing into the bush. They had bolted, too, before he got the picture."
Къадын онынъ янына етип кельди.,Here she came now.
"Инсан тёшекте башыны чевирип, Къадынгъа бакъты.",He turned his head on the cot to look toward her.
"– Селям, – деди Инсан.","-Hello,- he said."
"– Мен кийик къой атып ольдюрдим, – деди Къадын.","""I shot a Tommy ram,"" she told him."
"– Ондан санъа яхшы сорпа, озюме исе, ичине къартоп эзип, боткъа япарым.","""He'll make you good broth and I'll have them mash some potatoes with the Klim."
Озюнъни насыл дуясынъ?,"How do you feel?"""
– Текяран яхшыджаракъ.,"""Much better."""
"– Бакъ, насыл гузель!","""Isn't that lovely?"
"Билесинъми, яхшы олурсынъ деп, ойле де белледим.",You know I thought perhaps you would.
"Мен кеткенде, сен але даа юкъуда эдинъ.","You were sleeping when I left."""
"– Яхшы юкъладым, юкъума тойдым.","""I had a good sleep."
Узакъкъа кеттинъми?,Were you far?
– Ёкъ.,— No.
Къыр артына къадар бардым.,Just around behind the hill.
Кийик къойны яхшы бир атышнен ольдюрдим.,"I made quite a good shot on the Tommy."""
– Билесинъ де. Пек гузель атыджысынъ.,"""You shoot marvellously, you know."""
– Мен тюфектен атмагъа севем.,"""I love it."
Африкагъа севда олдым.,I've loved Africa.
Керчектен.,Really.
"Яхшы олсанъ, меним ичюн энъ буюк бахт олур эди.",If you're all right it's the most fun that I've ever had.
"Билесинъ, сеннен тюфек атмагъа баргъанда насыл бахтлы эдим.",You don't know the fun it's been to shoot with you.
Мен асылда бу дияргъа севда олдым.,I've loved the country.
– Мен де оны бегенем.,"""I love it too."""
"– Джаным, озюнъни текаран яхшы дуйгъанынънен мен насыл бахтлы олдым.","""Darling, you don't know how marvellous it is to see you feeling better."
Сен агъыр алда олгъанда даянып оламай эдим.,I couldn't stand it when you felt that way.
"Меннен ойле башкъа лаф этме, яхшымы, джаным?","You won't talk to me like that again, will you?"
Сёз бересинъми?,You promise?
"– Ёкъ,– деди Инсан.","""No,"" he said."
"– Не айткъаным, акълымда да ёкъ.","""I don't remember what I said."""
"– Сен меним гонълюмни къырып, куль этмеге истемейсинъ де, ойлеми?","""You don't have to destroy me. Do you?"
"Мен олгъаны-оладжагъы орта-яшлы, сени пек севген, ве, не истесенъ япмагъа разы олгъан бир къадыным.",I'm only a middle-aged woman who loves you and wants to do what you want to do.
Мен эки-учь кере фелян этильдим энди.,I've been destroyed two or three times already.
Сен мени кене фелян этмек истемейсинъ дегильми?,"You wouldn't want to destroy me again, would you?"""
"– Мен сени тёшекте эки-учь кере фелян этип, афан-туфан этмеге истер эдим, – деди Инсан.","""I'd like to destroy you a few times in bed,"" he said."
– Эльбетте.,- Yes.
Бу ёкъ этмекнинъ яхшы бир шекли.,That's the good destruction.
Биз эпимиз бойле ёкъ этильмек ичюн дюньягъа яратылдыкъ.,That's the way we're made to be destroyed.
Учакъ ярын энди мында олур.,"The plane will be here tomorrow."""
– Къайдан билесинъ?,"""How do you know?"""
– Эминим.,-I'm sure.
Кельмек керек.,He must come.
Огъланлар одун ве атештен тютюн чыкъармакъ ичюн от азырладылар.,The boys have the wood all ready and the grass to make the smudge.
Мен бугунь ашагъы тюшип оны бир даа тешкердим.,I went down and looked at it again today.
"Учакъкъа къонмагъа пек чокъ ер бар, атешлери эки тарафтан да азыр.","There's plenty of room to land and we have the smudges ready at both ends."""
"""Не ичюн ярын келеджегини тюшюнесинъ?""","""What makes you think it will come tomorrow?"""
– Эминим.,- I'm sure.
О келир. О энди кечикти.,He will come.It's overdue now.
"Шеэрде олар сенинъ аягъыны тедавий этерлер ве биз сонъра тёшекте севишип, яхшы бир кейф чатармыз.","Then, in town, they will fix up your leg and then we will have some good destruction."
Бойле мушкюль къаба лаф юрьсетмек киби дегиль.,"Not that dreadful talking kind."""
– Бир шей ютайыкъмы?,"""Should we have a drink?"
Кунеш де къонды.,"The sun is down."""
– Бу бизге керек дейсинъми?,"""Do you think you should?"""
– Мен бир къаде ютар эдим.,-I drank one shot.
"– Кель, экимиз де бирер дане ютайыкъ.","""We'll have one together."
"Моло, виски-сода кетир,– деп къычырды Къадын.","Molo, letti dui whiskey-soda!"" she called."
"– Чиркийлерден къорчалагъан аякъкъапларны кийсенъ, яхшы олур эди,– деди Инсан.","""You'd better put on your mosquito boots,"" he told her."
– Бир чайкъанып чыкъкъан сонъ киерим…,"""I'll wait till I bathe..."""
"Къаранлыкъ темеллисинен тюшкени къадар олар ичип отурдылар, къаранлыкъ басып, бир ерде тюфек атмакъ ичюн бир зерре ярыкъ шавлеси къалмагъан сонъ, сыртлан къырнынъ артындан ачыкълыкъны айланып кельди.","While it grew dark they drank and just before it was dark and there was no longer enough light to shoot, a hyena crossed the open on his way around the hill."
"– Бу пис айван эр гедже мында айланып келе,– деди Инсан.","""That bastard crosses there every night,"" the man said."
– Эки афта девамында – эр гедже келе.,"""Every night for two weeks."""
– Геджеси шамата чыкъаргъан да одыр.,"""He's the one makes the noise at night."
Затен олар пис айванлар.,"They're a filthy animal though."""
"Олар берабер отурып ичмектелер, агърылар шимди дуюлмай, тек бир тарафында девамлы яткъанындан текаран онъайтсызлыкъ дуя, огъланлар атеш якътылар, атешнинъ кольгеси чадырнынъ устюне секире.","Drinking together, with no pain now except the discomfort of lying in the one position, the boys lighting a fire, its shadow jumping on the tents, he could feel the return of acquiescence in this life of pleasant surrender."
"О, бу омюрге къайтувнынъ тынч раатлыгъыны дуйды.",She was very good to him.
Куньдюз о мераметсиз ве адалетсиз эди.,He had been cruel and unjust in the afternoon.
"Бу къадын керчектен де зариф, муджизевий бир къадын.","She was a fine woman, marvellous really."
Ве тамам шу ань ичинде озюнинъ олеяткъаныны дуйды.,And just then it occurred to him that he was going to die.
"О бир акъым киби кельди; сув я да ель акъымы киби дегиль, лякин, апансыздан, бир ярамайлыкъ дуйгъусынынъ бошлугъыны пейда этти ве, энъ аджайип шей, сыртлан о бошлукънынъ четинден яваштан, сессиз, бузда тайгъан киби, созулып кечти.","It came with a rush; not as a rush of water nor of wind; but of a sudden, evil-smelling emptiness and the odd thing was that the hyena slipped lightly along the edge of it."
"– Не олды, Хэрри? – сорады Къадын.","""What is it, Harry?"" she asked him."
"– Бир шей дегиль, – деди Инсан.","- Nothing,- he said."
"Сен башкъа тарафкъа чекилип отурсанъ, яхшы олур эди.",You had better move over to the other side.
Ель эскен тарафкъа отур.,Sit on the side of the wind.
– Моло аягъынъдаки саргъыны денъиштирдими?,"""Did Molo change the dressing?"""
"– Эбет, деми денъиштирдим, бор экшилигинден де сюрттим.","""Yes. I'm just using the boric now."""
– Озюнъни насыл дуясынъ?,"""How do you feel?"""
– Текаран такъатсыз олгъаным киби келе.,- Again a little weak.
"– Мен барып бир чайкъанайым, – деди Къадын.","""I'm going in to bathe,"" she said."
– Мен тез олурым.,"""I'll be right out."
"Экимиз ашармыз, сонъ тёшекни къоярым.","I'll eat with you,then we'll put the cot in."
"– Демек, даваны токътаткъанымыз яхшы олды, – деди Инсан озю озюне.","So, he said to himself, we did well to stop the quarrelling."
"О бу Къадыннен дава этмез эди, башкъа, ондан эвель севген къадынларынен исе, о къадар давалаша эдилер ки, ахыр-сонъу, ве даима, араларында олгъан эйи дуйгъуларны къавгъалар къурутып, ёкъ этип ташлар эди.","He had never quarrelled much with this woman, while with the women that he loved he had quarrelled so much they had finally, always, with the corrosion of the quarrelling, killed what they had together."
"О пек чокъ къадын севди, чокъ шей талап этти, истеди ве шимди эр бир шей ипрангъан алда, гъайып олып кетти.","He had loved too much, demanded too much, and he wore it all out."
"Бу сефер о Константинопольде янъгъыз къалып юрьгени акъылына тюшти. Парижде, кетмезден эвель, о къавгъа чыкъарды.","He thought about alone in Constantinople that time, having quarrelled in Paris before he had gone out."
"Константинопольде бутюн вакъыт ороспуланып юрьди, безген сонъ, янъгъызлыкъны кене де енъип оламады, аксине, тек бетер олды, ве оны эвельден ташлап кеткен къадынгъа, насыл о янъгъызлыкъны енъип оламагъаныны анълатып, мектюп язды…","He had whored the whole time and then, when that was over, and he had failed to kill his loneliness, but only made it worse, he had written her, the first one, the one who left him, a letter telling her how he had never been able to kill it ..."
"Насыл муниципалитетнинъ чевресинде шу къадынны корьгенде, эсини джояр беллегени, мидеси булангъаны ве о, онъа ошагъан къадыннынъ пешинден тюшип, Бульвар бою, о, шу къадын олмагъаныны анъламагъа къоркъып, ондан кельген юрек дуйгъуларны джоймагъа сакъынды.","How when he thought he saw her outside the Regence one time it made him go all faint and sick inside, and that he would follow a woman who looked like her in some way, along the Boulevard, afraid to see it was not she, afraid to lose the feeling it gave him."
"Эр бир джисмий алякъада булунгъан къадыны киби, шу къадынны да, озюни даа да зияде сагъынмагъа ве истемеге, меджбур этти.",How every one he had slept with had only made him miss her more.
"Насыл этип бутюн япкъанларнынъ бир эмиети олмагъаныны язды, чюнки о биле эди, бу севгиден тедавийленип оламаз.",How what she had done could never matter since he knew he could not cure himself of loving her.
"Бу мектюпни тюшюнип, о сувукъкъанлы алында язды ве Нью-Йоркъкъа ёллады, къадынгъа исе, джевабыны Париж офисине йибермеге риджада булунды.","He wrote this letter at the Club, cold sober, and mailed it to New York asking her to write him at the of fice in Paris."
Онъа бойле телюкесиз корюнди.,That seemed safe.
"Бу геджеси, шу къадынны пек сагъынгъаны себебинден, ичинде насылдыр бир бошлукъ, раатсызлыкъ дуйгъусыны ис этти.","And that night missing her so much it made him feel hollow sick inside, he wandered up past Maxim's, picked a girl up and took her out to supper."
"Таксим янында кезинип юргенде, бир кяхпе къызны расткетирип, акъшам емегине алып барды. Сонъра берабер дискотекагъа бардылар, къыз ярамай оюнджы олып чыкъты ве Инсан оны ташлап, сыджакъ къанлы американ къанджыгъына илинди, къанджыкъ къурсагъыны Инсангъа къаршы о къадар бургъушлады, о та къайнап кетти.","He had gone to a place to dance with her afterward, she danced badly, and left her for a hot Armenian slut, that swung her belly against him so it almost scalded."
"Инсан къанджыкъны британиялы топчусы, кучюк забиттен къавгъа чыкъырып, тутып алды.",He took her away from a British gunner subaltern after a row.
"Бу топчу оны тышары чыкъып анълашмагъа давет этти. Олар тышарыда, къаранлыкъта, къалдырымларнынъ ташлары устюнде котеклештилер.",The gunner asked him outside and they fought in the street on the cobbles in the dark.
"О топчунынъ эки кере ченгесине яндырды ве топчу йыкъылмагъан сонъ, котеклешмеге керек оладжагъыны анълады.","He'd hit him twice, hard, on the side of the jaw and when he didn't go down he knew he was in for a fight."
"Топчу онынъ беденине, сонъра козюне яндырды.","The gunner hit him in the body, then beside his eye."
"Инсан ондан сонъ кене де сагъ къолунен урды ве дарбе барып ерине тюшти, топчу Инсаннынъ устюне авдарылды, биджагъына япышып, енъини узип алды. О бир даа къулагъынынъ артына патлатты, сонъра сагъ къолунен яндырып, итеп йиберди.",He swung with his left again and landed and the gunner fell on him and grabbed his coat and tore the sleeve off and he clubbed him twice behind the ear and then smashed him with his right as he pushed him away.
"Топчу йыкъылгъанда, башы ерге урулды ве олар къызнен шу дакъикъасы къачып кеттилер, чюнки арбий полислер кельгенини эшиттилер.",When the gunner went down his head hit first and he ran with the girl because they heard the M.P. 's coming.
"Такси тутып, Босфорнынъ четинде Риммили Хисса (Rimmily Hissa) ве онынъ этрафына кеттилер, гедже салкъын олгъанындан тёшекке ашыкъып сокъулдылар, къыз онъа кемалына текаран зияде кельген киби корюнди, озю гъондже япракълары киби шербетли, тегиз къурсакълы, буюк кокюсли, янбашлары тюбюне ястыкълар сокъулмасынынъ ихтияджы ёкъ;","They got into a taxi and drove out to Rimmily Hissa along the Bosphorus, and around, and back in the cool night and went to bed and she felt as over-ripe as she looked but smooth, rose-petal, syrupy, smooth-bellied, big-breasted and needed no pillow under her buttocks."
"Инсан, шу къыз уянмаздан эвель, оны ташлап кетти, биринджи кунь шавлелеринде къызнынъ корюниши баягъы орьселенген киби кельди. ",He left her before she was awake looking blousy enough in the first daylight.
"О Pera Palace бинасына козюнинъ тюбю когерген, къолунда енъи сёкюльген биджагъынен, къайтып кельди.","He turned up at the Pera Palace with a black eye, carrying his coat because one sleeve was missing."
"Айны шу геджеси Анадолу (Anatolia) тарафына кетти ве бираз вакъыт кечкен сонъ акъылына бир шей кельди; айны шу сеяатта о бутюн кунь къашкъаш тарлаларында кезди, олар къашкъашны махсус афьён япмакъ ичюн асрай эдилер ве сонъунда афьён насыл аджайип дуйгъулар багъышлай, бутюн месафелер янълыш корюне, анда, янъы кельген Constantine officers (забитлерине) уджюм эткен ерлер янълыш олгъан киби корюне эди, забитлер шу лянетли шейни бильмей эдилер, артиллерия ордугъа атеш ачты ве британиялы козетиджиси бала киби агълады.","That same night he left for Anatolia and he remembered, later on that trip, riding all day through fields of the poppies that they raised for opium and how strange it made you feel, finally, and all the distances seemed wrong, to where they had made the attack with the newly arrived Constantine officers, that did not know a god-damned thing, and the artillery had fired into the troops and the British observer had cried like a child."
"Шу кунъ о биринджи кере ольген адамларны корьди, оларнынъ устьлеринде беяз балет фистанлары, аякъларында помпонларнен яраштырылгъан аякъкъаплар бар эди.",That was the day he'd first seen dead men wearing white ballet skirts and upturned shoes with pompons on them.
